Team,Pts
Golden State Warriors,112.84466019417475
New Orleans Pelicans,111.54945054945055
Toronto Raptors,111.18478260869566
Houston Rockets,111.08080808080808
Denver Nuggets,110.0
Philadelphia 76ers,109.69565217391305
Minnesota Timberwolves,109.05747126436782
Los Angeles Clippers,108.98780487804878
Cleveland Cavaliers,108.8076923076923
Charlotte Hornets,108.21951219512195
Los Angeles Lakers,108.07317073170732
Oklahoma City Thunder,107.39772727272727
Washington Wizards,106.64772727272727
Brooklyn Nets,106.59756097560975
Milwaukee Bucks,106.11235955056179
Portland Trail Blazers,105.61627906976744
Indiana Pacers,105.1685393258427
New York Knicks,104.46341463414635
Utah Jazz,103.93548387096774
Phoenix Suns,103.92682926829268
Detroit Pistons,103.76829268292683
Boston Celtics,103.51485148514851
Miami Heat,103.41379310344827
Orlando Magic,103.40243902439025
Atlanta Hawks,103.35365853658537
Chicago Bulls,102.92682926829268
San Antonio Spurs,102.39080459770115
Dallas Mavericks,102.3170731707317
Memphis Grizzlies,99.32926829268293
Sacramento Kings,98.82926829268293
