,Team,Odds,W-L O/U,Result
0,Los Angeles Clippers,425,53.5, 49-23 (under)
1,Los Angeles Lakers,450,50.5, 52-19 (over)
2,Milwaukee Bucks,550,57.5, 56-17 (under)
3,Houston Rockets,700,54.0, 44-28 (under)
4,Philadelphia 76ers,775,54.5, 43-30 (under)
5,Golden State Warriors,950,47.5, 15-50 (under)
6,Utah Jazz,1300,53.5, 44-28 (under)
7,Denver Nuggets,2000,53.0, 46-27 (under)
8,Boston Celtics,2900,48.5, 48-24 (under)
9,Portland Trail Blazers,3500,46.5, 35-39 (under)
10,Indiana Pacers,5000,46.5, 45-28 (under)
11,Brooklyn Nets,5500,43.5, 35-37 (under)
12,Toronto Raptors,5500,46.5, 53-19 (over)
13,Miami Heat,6000,43.5, 44-29 (over)
14,San Antonio Spurs,6000,46.5, 32-39 (under)
15,Dallas Mavericks,10500,40.5, 43-32 (over)
16,New Orleans Pelicans,12500,37.5, 30-42 (under)
17,Sacramento Kings,15000,37.5, 31-41 (under)
18,Orlando Magic,20000,41.5, 33-40 (under)
19,Atlanta Hawks,25000,33.5, 20-47 (under)
20,Oklahoma City Thunder,25000,32.5, 44-28 (over)
21,Detroit Pistons,25000,37.5, 20-46 (under)
22,Chicago Bulls,42500,33.5, 22-43 (under)
23,Minnesota Timberwolves,50000,35.5, 19-45 (under)
24,Phoenix Suns,50000,29.5, 34-39 (over)
25,Memphis Grizzlies,100000,27.5, 34-39 (over)
26,New York Knicks,100000,26.5, 21-45 (under)
27,Washington Wizards,125000,27.0, 25-47 (under)
28,Cleveland Cavaliers,150000,24.5, 19-46 (under)
29,Charlotte Hornets,200000,23.5, 23-42 (under)
