Team,Rating
LALakers,5.937733169
Milwaukee,6.851611038
Brooklyn,4.725416737
LAClippers,5.414529613
Boston,4.204692914
Miami,3.696361236
Denver,4.377295651
GoldenState,0.852607407
Toronto,3.159212109
Philadelphia,3.668842327
Dallas,3.340391522
Utah,2.837839988
Portland,2.344299513
Phoenix,1.344419369
Houston,-0.637501841
NewOrleans,0.350389969
Atlanta,-0.824815196
Indiana,1.16842995
Washington,-1.82404429
Memphis,-2.126001769
Minnesota,-3.146284663
OklahomaCity,-6.849587767
Orlando,-2.321539485
Chicago,-3.310345
Charlotte,-4.884834591
Sacramento,-3.640075422
SanAntonio,-3.647219763
NewYork,-7.596714785
Cleveland,-6.987798822
Detroit,-6.477309116
